BHK,Type,Purpose,Location,Latitude,Longitude,City,furnishing,Bathroom,tenant_preferred,carpet_area,floor,direction,overlooking,society,amount
2,House,Rent,in Malad West Mumbai                ,19.184743,72.834745,mumbai,Semi-Furnished,2,Bachelors/Family,855 sqft,East,Freehold,2,,"33,000"
3,House,Rent,in Four Bungalows Mumbai                ,19.1287942,72.8255543,mumbai,Unfurnished,3,Bachelors/Family,910 sqft,6 out of 6,South - East,Main Road,,100000
1,House,Rent,"in JP North Alexa, Vinay Nagar Mumbai             ",19.077362,72.866148,mumbai,Unfurnished,2,Bachelors/Family,488 sqft,East,Garden/Park,JP North Alexa,JP North Alexa,"20,000"
4,Villa,Rent,Juhu Mumbai                  ,19.1070215,72.8275275,mumbai,Furnished,5,Bachelors/Family,2500 sqft,East,Garden/Park,5,,450000
1,House,Rent,in Chembur Colony Mumbai                ,19.04362755,72.89287635,mumbai,Unfurnished,1,Bachelors/Family,320 sqft,Ground out of 1,North - East,1,,"18,000"
3,House,Rent,in Kandivali West Mumbai                ,19.212145,72.862257,mumbai,Semi-Furnished,3,Bachelors,750 sqft,2 out of 3,South,Main Road,,"35,000"
6,Villa,Rent,"Ruia Park, Juhu Mumbai                ",19.07887,72.84417,mumbai,Semi-Furnished,6,Family,7500 sqft,West,Ruia Park,6,Ruia Park,1100000
3,House,Rent,"in Dosti Eastern Bay, Wadala East Mumbai             ",19.022711,72.867452,mumbai,Furnished,3,Bachelors/Family,1150 sqft,North - East,Garden/Park,Dosti Eastern Bay,Dosti Eastern Bay,140000
4,Villa,Rent,Goregaon West Mumbai                 ,19.1633281,72.8411995,mumbai,Unfurnished,4,Bachelors/Family,1800 sqft,4,2,,,200000
2,House,Rent,in Narayan Nagar Mumbai                ,19.0942142,72.8957166,mumbai,Semi-Furnished,1,Bachelors/Family,700 sqft,Ground out of 1,1,,,"45,000"
1,House,Rent,"in Hiranandani Zen Maple, Hiranandani Gardens Mumbai             ",19.276634,72.983455,mumbai,Semi-Furnished,2,Bachelors/Family,625 sqft,Hiranandani Zen Maple,2,,Hiranandani Zen Maple,"60,000"
3,House,Rent,"in Sheth Vasant Oasis, Andheri East Mumbai             ",Error,Error,mumbai,Semi-Furnished,3,Bachelors/Family,990 sqft,9 out of 20,East,Garden/Park,Sheth Vasant Oasis,120000
6,House,Rent,in Juhu Mumbai                 ,19.1025973,72.8253422,mumbai,Furnished,6,Family,4200 sqft,East,"Garden/Park, Pool",6,,1100000
1,House,Rent,in Ulhasnagar Mumbai                 ,19.224665,73.161603,mumbai,Unfurnished,1,Bachelors/Family,260 sqft,1 out of 2,1,,,"5,500"
1,House,Rent,in Chembur Mumbai                 ,19.04362755,72.89287635,mumbai,Semi-Furnished,1,Bachelors,550 sqft,1,,,,"30,000"
1,House,Rent,in Napean Sea Road Mumbai               ,18.9616533,72.8018448,mumbai,Unfurnished,1,Bachelors/Family,500 sqft,1,,,,"70,000"
1,House,Rent,in Husenbhai Mansion Mumbai                ,Error,Error,mumbai,Unfurnished,1,Bachelors,170 sqft,1 out of 2,South,1,,"14,500"
2,House,Rent,"in Kolte Patil Verve, Bangur Nagar Mumbai             ",19.077362,72.866148,mumbai,Unfurnished,2,Family,760 sqft,5 out of 24,East,Garden/Park,Kolte Patil Verve,"69,000"
2,Villa,Rent,Bandra West Mumbai                 ,19.0583358,72.8302669,mumbai,Semi-Furnished,2,Bachelors/Family,500 sqft,East,Garden/Park,2,,"60,000"
4,Villa,Rent,"Royal Palms, Goregaon East Mumbai               ",28.145968,-82.676805,mumbai,Unfurnished,5,Bachelors,3200 sqft,North - East,"Garden/Park, Main Road",Co-operative Society,Royal Palms,250000
1,House,Rent,in Matunga West Mumbai                ,19.0317259,72.8433917,mumbai,Semi-Furnished,2,Bachelors/Family,550 sqft,East,Garden/Park,245 X 244.9 ft Sqft,,"55,000"
4,House,Rent,in Kemps Corner Malabar Hill Mumbai              ,18.9637535,72.8068617,mumbai,Semi-Furnished,4,Bachelors/Family,2050 sqft,Upper Basement out of 18,North - East,"Garden/Park, Pool, Main Road",,450000
5,Villa,Rent,"Sun Swept, Andheri West Mumbai               ",19.124204,72.842878,mumbai,Unfurnished,6,Bachelors/Family,3500 sqft,Sun Swept,6,5,Sun Swept,280000
4,Villa,Rent,"Shantilife Spaces II, Vasai East Mumbai              ",Error,Error,mumbai,Furnished,4,Family,5500 sqft,North - West,"Garden/Park, Pool, Main Road",Shantilife Spaces II,Shantilife Spaces II,"33,000"
5,Villa,Rent,Swami Samarth Nagar Mumbai                ,19.1430826,72.8246153,mumbai,Unfurnished,6,Bachelors/Family,2000 sqft,East,Main Road,6,,450000
5,House,Rent,"in Aashiyana Apartments, Bandra West Mumbai              ",19.129458,72.891697,mumbai,Semi-Furnished,5,Bachelors/Family,2000 sqft,6 out of 6,Garden/Park,Aashiyana Apartments,Aashiyana Apartments,180000
2,House,Rent,in Vile Parle West Mumbai               ,19.1059989,72.8344867,mumbai,Furnished,2,Bachelors/Family,745 sqft,1 out of 2,2,,,"60,000"
1,House,Rent,in Nallasopara East Mumbai                ,19.417832,72.818928,mumbai,Unfurnished,1,Bachelors,300 sqft,East,Main Road,1,,400000
1,House,Rent,in vanrai sahakari society Mumbai               ,Error,Error,mumbai,Semi-Furnished,1,Bachelors/Family,208 sqft,1,,,,"8,000"
1,House,Rent,in Jogeshwari East Mumbai                ,19.1429737,72.855068,mumbai,Unfurnished,1,Bachelors/Family,250 sqft,East,1,,,"14,000"
1,House,Rent,in Malad West Mumbai                ,19.184743,72.834745,mumbai,Unfurnished,1,Bachelors/Family,300 sqft,1,,,,"8,500"
1,House,Rent,in Mahatma Phule Nagar Kalina Mumbai              ,19.131577,72.891418,mumbai,Unfurnished,1,Bachelors/Family,650 sqft,1,1,,,"25,000"
1,House,Rent,in Tardeo Mumbai                 ,18.9722687,72.8204976,mumbai,Semi-Furnished,1,Bachelors,250 sqft,1 out of 4,1,,,"20,000"
1,House,Rent,in Vikhroli West Mumbai                ,19.1189326,72.9152999,mumbai,Semi-Furnished,1,Bachelors/Family,230 sqft,1 out of 1,1,,,"9,000"
4,Villa,Rent,Bhandup East Mumbai                 ,19.1378308,72.9361964,mumbai,Unfurnished,2,Bachelors,3000 sqft,East,2,1,,130000
1,House,Rent,in Andheri West Mumbai                ,19.1025973,72.8253422,mumbai,Semi-Furnished,1,Bachelors/Family,300 sqft,1 out of 2,1,,,"5,000"
1,House,Rent,in Malad West Mumbai                ,19.184743,72.834745,mumbai,Unfurnished,1,Bachelors/Family,225 sqft,1,,,,"8,500"
1,House,Rent,in Kurla West Mumbai                ,19.06784,72.879118,mumbai,Unfurnished,1,Bachelors/Family,215 sqft,1,,,,"13,000"
1,House,Rent,in Borivali East Mumbai                ,19.2280657,72.8577955,mumbai,Unfurnished,1,Bachelors/Family,250 sqft,1 out of 1,1,,,"4,000"
2,House,Rent,in Kurla West Mumbai                ,19.06784,72.879118,mumbai,Semi-Furnished,2,Bachelors/Family,900 sqft,2,,,,"50,000"
2,House,Rent,"in Arkade Earth, Kanjur Village Mumbai              ",19.129514,72.931067,mumbai,Semi-Furnished,2,Family,680 sqft,West,Arkade Earth,2,Arkade Earth,"70,000"
1,House,Rent,in Marol Mumbai                 ,19.1172198,72.882342,mumbai,Unfurnished,1,Bachelors/Family,280 sqft,1,,,,"10,000"
1,House,Rent,in Malad West Mumbai                ,19.184743,72.834745,mumbai,Unfurnished,1,Bachelors/Family,500 sqft,1,,,,"7,000"
2,Villa,Rent,Bandra West Mumbai                 ,19.0583358,72.8302669,mumbai,Semi-Furnished,2,Bachelors/Family,500 sqft,East,Garden/Park,2,,"60,000"
4,Villa,Rent,"Royal Palms, Goregaon East Mumbai               ",28.145968,-82.676805,mumbai,Unfurnished,5,Bachelors,3200 sqft,North - East,"Garden/Park, Main Road",Co-operative Society,Royal Palms,250000
1,House,Rent,in Matunga West Mumbai                ,19.0317259,72.8433917,mumbai,Semi-Furnished,2,Bachelors/Family,550 sqft,East,Garden/Park,245 X 244.9 ft Sqft,,"55,000"
5,Villa,Rent,"Sun Swept, Andheri West Mumbai               ",19.124204,72.842878,mumbai,Unfurnished,6,Bachelors/Family,3500 sqft,Sun Swept,6,5,Sun Swept,280000
4,Villa,Rent,"Shantilife Spaces II, Vasai East Mumbai              ",Error,Error,mumbai,Furnished,4,Family,5500 sqft,North - West,"Garden/Park, Pool, Main Road",Shantilife Spaces II,Shantilife Spaces II,"33,000"
5,Villa,Rent,Swami Samarth Nagar Mumbai                ,19.1430826,72.8246153,mumbai,Unfurnished,6,Bachelors/Family,2000 sqft,East,Main Road,6,,450000
1,House,Rent,in Nallasopara East Mumbai                ,19.417832,72.818928,mumbai,Unfurnished,1,Bachelors,300 sqft,East,Main Road,1,,400000
1,House,Rent,in vanrai sahakari society Mumbai               ,Error,Error,mumbai,Semi-Furnished,1,Bachelors/Family,208 sqft,1,,,,"8,000"
1,House,Rent,in Malad West Mumbai                ,19.184743,72.834745,mumbai,Unfurnished,1,Bachelors/Family,300 sqft,1,,,,"8,500"
1,House,Rent,in Mahatma Phule Nagar Kalina Mumbai              ,19.131577,72.891418,mumbai,Unfurnished,1,Bachelors/Family,650 sqft,1,1,,,"25,000"
1,House,Rent,in Tardeo Mumbai                 ,18.9722687,72.8204976,mumbai,Semi-Furnished,1,Bachelors,250 sqft,1 out of 4,1,,,"20,000"
1,House,Rent,in Andheri West Mumbai                ,19.1025973,72.8253422,mumbai,Semi-Furnished,1,Bachelors/Family,300 sqft,1 out of 2,1,,,"5,000"
2,House,Rent,"in Arkade Earth, Kanjur Village Mumbai              ",19.129514,72.931067,mumbai,Semi-Furnished,2,Family,680 sqft,West,Arkade Earth,2,Arkade Earth,"70,000"
2,House,Rent,in Andheri West Mumbai                ,19.1025973,72.8253422,mumbai,Semi-Furnished,2,Bachelors/Family,1200 sqft,1 out of 3,2,,,"14,000"
2,House,Rent,in Gorai 1 Mumbai                ,19.131577,72.891418,mumbai,Unfurnished,2,Bachelors/Family,1200 sqft,Ground out of 2,2,,,"50,000"
3,House,Rent,"in Sion East, SIES COLLEGE Mumbai              ",Error,Error,mumbai,Semi-Furnished,2,Bachelors/Family,Immediately,1200 sqft,1 out of 3,North,Sion East,"90,000"
3,House,Rent,in Juhu Koliwada Mumbai                ,19.0860932,72.8276098,mumbai,Furnished,1,Bachelors/Family,1080 sqft,6 out of 6,1,,,110000
1,House,Rent,in Powai Mumbai                 ,19.1189326,72.9152999,mumbai,Unfurnished,1,Bachelors/Family,160 sqft,1,,,,"7,000"
9,House,Rent,in Lal Baug Mumbai                ,18.9935288,72.8424069,mumbai,Unfurnished,1,Bachelors/Family,300 sqft,6 out of 23,1,,,"26,000"
1,House,Rent,in Borivali West Mumbai                ,19.24045455,72.83932638,mumbai,Semi-Furnished,1,Bachelors/Family,500 sqft,1 out of 7,1,,,"25,000"
1,House,Rent,in Santacruz East Mumbai                ,19.081862,72.844029,mumbai,Semi-Furnished,1,Bachelors/Family,250 sqft,1,1,,,"5,000"
1,House,Rent,in new bhim nagar near kajolkar society opp. sarvodaya hospital ghtkopar west mumbai 400086      ,19.131577,72.891418,mumbai,Furnished,1,Bachelors/Family,400 sqft,1,1,,,"6,000"
1,House,Rent,in azad nagar matunga road Mumbai              ,19.131577,72.891418,mumbai,Unfurnished,1,Bachelors/Family,150 sqft,1 out of 2,1,1,,"9,000"
1,House,Rent,in Mulund West Mumbai                ,19.1719717,72.9511956,mumbai,Semi-Furnished,1,Bachelors/Family,300 sqft,1,,,,"10,000"
3,House,Rent,in Lake Paradise Mumbai                ,19.131577,72.891418,mumbai,Furnished,3,Bachelors/Family,1550 sqft,3,,,,"22,000"
1,House,Rent,"in Virndavan Complex, Vasai East Mumbai              ",19.118654,72.926907,mumbai,Unfurnished,1,Family,Immediately,485 sqft,3 out of 3,East,Virndavan Complex,"7,500"
1,House,Rent,in Santacruz East Mumbai                ,19.081862,72.844029,mumbai,Furnished,1,Bachelors/Family,510 sqft,1 out of 4,1,,,"38,000"
1,House,Rent,in Saki Naka Mumbai                ,19.09668665,72.87399403,mumbai,Unfurnished,1,Bachelors/Family,350 sqft,1 out of 2,1,,,"15,000"
1,House,Rent,in KASHELI THANE Mumbai                ,Error,Error,mumbai,Unfurnished,1,Bachelors/Family,500 sqft,2 out of 3,North - East,1,,"7,500"
2,Villa,Rent,Madh Mumbai                  ,19.1375285,72.7918857,mumbai,Semi-Furnished,1,Bachelors/Family,1000 sqft,1,1,,,"15,000"
2,Villa,Rent,Vakola Mumbai                  ,19.0813635,72.853893,mumbai,Furnished,1,Bachelors/Family,1000 sqft,1,,,,130000
2,House,Rent,in Madh Mumbai                 ,19.17287205,72.7960136,mumbai,Semi-Furnished,2,Bachelors,2000 sqft,West,2,,,"25,000"
1,House,Rent,in Ovaripada  Mumbai                ,19.2414963,72.8630086,mumbai,Unfurnished,1,Bachelors/Family,340 sqft,North,1,,,"13,000"
1,House,Rent,in Malad West Mumbai                ,19.184743,72.834745,mumbai,Furnished,1,Bachelors/Family,450 sqft,1 out of 2,1,,,"16,000"
2,House,Rent,in Bamanwada Mumbai                 ,19.1034624,72.8585612,mumbai,Unfurnished,1,Bachelors/Family,600 sqft,1 out of 1,1,,,"30,000"
1,House,Rent,in Mira Bhayandar Mumbai                ,19.2813147,72.8747815,mumbai,Semi-Furnished,1,Bachelors/Family,440 sqft,4 out of 4,1,2,,"4,500"
3,Villa,Rent,Juhu Mumbai                  ,19.1070215,72.8275275,mumbai,Furnished,3,Bachelors/Family,1807 sqft,3,,,,1700000
1,House,Rent,in Frenny platinum tower vasai Mumbai              ,Error,Error,mumbai,Semi-Furnished,1,Bachelors/Family,408 sqft,1,,,,"2,000"
1,House,Rent,in Vidyavihar West Mumbai                ,19.0796294,72.89749147,mumbai,Unfurnished,1,Bachelors/Family,150 sqft,1,,,,"8,000"
2,House,Rent,in Vile Parle Mumbai                ,19.0999098,72.8440038,mumbai,Semi-Furnished,2,Bachelors/Family,745 sqft,2,,,,"50,000"
1,House,Rent,in Halav Pool Mumbai                ,Error,Error,mumbai,Unfurnished,1,Bachelors/Family,10 sqft,1 out of 1,1,,,"7,500"
2,Villa,Rent,Lower Parel Mumbai                 ,18.99568,72.8302756,mumbai,Semi-Furnished,2,Bachelors,750 sqft,South,2,,,"13,000"
1,House,Rent,in Vasai East Mumbai                ,19.368341,72.7912,mumbai,Furnished,1,Family,650 sqft,4 out of 4,Main Road,1,,"7,000"
3,Flat,Rent,"in Juhu, Mumbai                 ",19.1025973,72.8253422,mumbai,1800 sqft,Const. Age 15 to 20 years,2 out of 7,East,Main Road,2 Covered,3,,350000
4,Flat,Rent,"in Juhu, Mumbai                 ",19.1025973,72.8253422,mumbai,Unfurnished,4,Bachelors/Family,1700 sqft,5 out of 12,East,Main Road,,350000
3,Flat,Rent,"in Wadala, Mumbai                 ",20.7885327,78.2997963,mumbai,Semi-Furnished,4,Bachelors,1330 sqft,North,"Garden/Park, Pool, Main Road",4,,190000
4,Flat,Rent,"in Oberoi Sky City, Borivali East, Mumbai             ",Error,Error,mumbai,Semi-Furnished,4,Bachelors,1393 sqft,48 out of 61,East,"Pool, Garden/Park, Main Road",Oberoi Sky City,180000
4,Flat,Rent,"in Kanakia Silicon Valley, Powai, Mumbai              ",19.1183795,72.91861633,mumbai,Semi-Furnished,4,Bachelors/Family,1512 sqft,7 out of 24,Kanakia Silicon Valley,4,Kanakia Silicon Valley,220000
3,Flat,Rent,"in Lodha World View, Worli, Mumbai              ",19.001967,72.826961,mumbai,Semi-Furnished,5,Bachelors/Family,1705 sqft,55 out of 76,West,Garden/Park,Lodha World View,530000
1,Flat,Rent,"in Tista Arpit, Andheri East, Mumbai              ",Error,Error,mumbai,Unfurnished,2,Bachelors/Family,500 sqft,4 out of 12,East,Main Road,Tista Arpit,"44,000"
2,Flat,Rent,"in Paras Building, Goregaon West, Mumbai              ",19.111533,72.844416,mumbai,Unfurnished,2,Family,700 sqft,4 out of 13,East,Main Road,Paras Building,"60,000"
4,Flat,Rent,"in Omkar 1973, Worli, Mumbai               ",19.009341,72.823449,mumbai,Semi-Furnished,4,Bachelors/Family,1600 sqft,26 out of 73,North - East,Omkar 1973,Omkar 1973,430000
3,Flat,Rent,"in Runwal Forests, Kanjurmarg West, Mumbai              ",Error,Error,mumbai,Unfurnished,2,Bachelors,989 sqft,3 out of 48,North - East,"Garden/Park, Pool, Main Road",Runwal Forests,"82,000"
3,Flat,Rent,"in HDIL Metropolis, Andheri West, Mumbai              ",19.158402,72.942891,mumbai,Semi-Furnished,3,Family,1310 sqft,23 out of 31,East,"Garden/Park, Pool, Main Road",HDIL Metropolis,140000
2,Flat,Rent,"in Bhoomi Valley, Kandivali East, Mumbai              ",19.21109,72.864511,mumbai,Furnished,2,Family,620 sqft,4 out of 8,East,Garden/Park,Bhoomi Valley,"43,000"
3,Flat,Rent,"in Ekta Tripolis, Goregaon West, Mumbai              ",Error,Error,mumbai,Semi-Furnished,2,Bachelors,800 sqft,6 out of 36,South,"Garden/Park, Main Road",Ekta Tripolis,"80,000"
1,Flat,Rent,"in Haware Intelligentia, Vikhroli East, Mumbai              ",Error,Error,mumbai,Unfurnished,2,Bachelors,330 sqft,7 out of 23,East,"Garden/Park, Main Road",Haware Intelligentia,"29,999"
3,Flat,Rent,"in Worli, Mumbai                 ",19.0096713,72.8152191,mumbai,1092 sqft,Const. Age Less than 5 years,Semi-Furnished,"Garden/Park, Pool, Main Road",2 Covered,3,,,210000
3,Flat,Rent,"in Wadhwa Amar Jivan, Bandra West, Mumbai             ",Error,Error,mumbai,Semi-Furnished,3,Bachelors/Family,1250 sqft,8 out of 15,East,Main Road,Wadhwa Amar Jivan,350000
3,Flat,Rent,"in Bharat Juhu Acropolis, Juhu, Mumbai              ",19.094799,72.828345,mumbai,Unfurnished,3,Bachelors/Family,1200 sqft,9 out of 16,North,Garden/Park,Bharat Juhu Acropolis,210000
4,Flat,Rent,"in Windsor Grande Residences, Andheri West, Mumbai             ",Error,Error,mumbai,Furnished,4,Bachelors/Family,3050 sqft,7 out of 33,East,"Garden/Park, Pool, Main Road",Windsor Grande Residences,550000
4,Flat,Rent,"in Piramal Revanta, Mulund West, Mumbai              ",Error,Error,mumbai,Semi-Furnished,4,Bachelors/Family,1550 sqft,14 out of 42,East,Garden/Park,Piramal Revanta,130000
3,Flat,Rent,"in Oberoi Sky City, Borivali East, Mumbai             ",Error,Error,mumbai,Unfurnished,3,Bachelors/Family,1073 sqft,20 out of 61,West,"Garden/Park, Main Road",Oberoi Sky City,"85,000"
2,Flat,Rent,"in SD Alpine, Kandivali East, Mumbai              ",19.21109,72.864511,mumbai,Semi-Furnished,2,Bachelors/Family,768 sqft,10 out of 54,East,"Garden/Park, Pool, Main Road",SD Alpine,"71,000"
2,Flat,Rent,"in Lodha Kiara, Worli, Mumbai               ",19.00485665,72.82988261,mumbai,Semi-Furnished,2,Bachelors/Family,920 sqft,30 out of 67,East,"Garden/Park, Pool, Main Road",Lodha Kiara,210000
3,Flat,Rent,"in Sapphire Heights, Kandivali East, Mumbai              ",19.21109,72.864511,mumbai,Unfurnished,2,Family,855 sqft,13 out of 26,East,"Garden/Park, Pool, Main Road",Sapphire Heights,"54,000"
2,Flat,Rent,"in Palazzio CHS, Powai, Mumbai               ",19.105152,72.916927,mumbai,Unfurnished,2,Bachelors/Family,765 sqft,10 out of 14,East,Garden/Park,Palazzio CHS,"50,000"
3,Flat,Rent,"in Powai, Mumbai                 ",19.1189326,72.9152999,mumbai,Furnished,3,Bachelors/Family,2772 sqft,15 out of 22,East,"Garden/Park, Pool, Main Road",,240000
3,Flat,Rent,"in Astron, Kandivali East, Mumbai               ",19.240419,72.839269,mumbai,Unfurnished,3,Bachelors/Family,1070 sqft,26 out of 37,North,"Garden/Park, Main Road",Astron,"80,000"
2,Flat,Rent,"in Chembur, Mumbai                 ",19.0570862,72.8988851,mumbai,Semi-Furnished,3,Family,900 sqft,5 out of 15,East,Garden/Park,,"95,000"
3,Flat,Rent,"in Juhu, Mumbai                 ",19.1025973,72.8253422,mumbai,Furnished,4,Bachelors,1700 sqft,5 out of 7,East,"Main Road, Garden/Park",,330000
2,Flat,Rent,"in Rustomjee Erika, Bandra East, Mumbai              ",19.056136,72.845076,mumbai,Furnished,2,Bachelors,650 sqft,23 out of 23,Main Road,Rustomjee Erika,Rustomjee Erika,120000
4,Flat,Rent,"in Chembur, Mumbai                 ",19.0570862,72.8988851,mumbai,Semi-Furnished,4,Family,1450 sqft,3 out of 13,East,4,,150000
2,Apartment,Rent,Bandra West Mumbai                 ,19.0583358,72.8302669,mumbai,Semi-Furnished,2,Bachelors/Family,900 sqft,3 out of 6,West,"Pool, Main Road, Garden/Park",,160000
2,Apartment,Rent,"Spring Leaf, Kandivali East Mumbai               ",19.21109,72.864511,mumbai,Semi-Furnished,2,Bachelors/Family,760 sqft,11 out of 14,East,Garden/Park,Spring Leaf,"55,000"
3,Apartment,Rent,"Ten BKC, E Block BKC Mumbai              ",18.968768,72.804205,mumbai,Unfurnished,3,Family,1350 sqft,11 out of 19,North - East,"Garden/Park, Main Road",Ten BKC,350000
1,Apartment,Rent,"Piramal Revanta, Mulund West Mumbai               ",Error,Error,mumbai,Semi-Furnished,2,Bachelors/Family,432 sqft,20 out of 43,North - East,"Garden/Park, Pool, Main Road",Piramal Revanta,"42,000"
1,Apartment,Rent,"Omkar Signet, Malad East Mumbai               ",Error,Error,mumbai,Semi-Furnished,2,Bachelors,333 sqft,22 out of 33,East,"Pool, Garden/Park, Main Road",Omkar Signet,"37,000"
3,Apartment,Rent,Mulund West Mumbai                 ,19.1719717,72.9511956,mumbai,Semi-Furnished,2,Bachelors/Family,950 sqft,1 out of 7,"Garden/Park, Main Road",2,,"65,000"
2,Apartment,Rent,"Montreal Tower, Shastri Nagar Andheri West Mumbai             ",-6.223158,106.841956,mumbai,Semi-Furnished,2,Family,800 sqft,3 out of 25,North,"Pool, Garden/Park, Main Road",Montreal Tower,"75,000"
4,Apartment,Rent,"Marvel Shanti Solitaire, Ghatkopar East Mumbai              ",Error,Error,mumbai,Furnished,4,Bachelors,1870 sqft,5 out of 13,East,"Main Road, Garden/Park",Marvel Shanti Solitaire,150000
3,Apartment,Rent,Goregaon West Mumbai                 ,19.1633281,72.8411995,mumbai,Furnished,3,Bachelors,1000 sqft,4 out of 7,East,"Pool, Garden/Park, Main Road",,"85,000"
2,Apartment,Rent,Waterfield Road Mumbai                 ,19.0636776,72.8346505,mumbai,Semi-Furnished,2,Bachelors/Family,800 sqft,7 out of 12,East,2,,180000
3,Apartment,Rent,P and T Staff Colony Mumbai              ,19.092921,72.903873,mumbai,Semi-Furnished,2,Bachelors/Family,800 sqft,6 out of 17,East,"Garden/Park, Main Road",,"60,000"
2,Apartment,Rent,"Panju Mahal Apartment, Bandra West Mumbai              ",Error,Error,mumbai,Furnished,2,Bachelors,1000 sqft,3 out of 7,North - West,"Garden/Park, Main Road",Panju Mahal Apartment,160000
2,Apartment,Rent,"Lodha Aurum Grande, Kanjurmarg East Mumbai              ",19.1284984,72.92995175,mumbai,Furnished,2,Bachelors/Family,934 sqft,25 out of 34,North - East,"Garden/Park, Pool, Main Road",Lodha Aurum Grande,"75,000"
1,Apartment,Rent,Bandra West Mumbai                 ,19.0583358,72.8302669,mumbai,Semi-Furnished,1,Bachelors/Family,550 sqft,5 out of 10,East,Main Road,,"80,000"
3,Apartment,Rent,"Raheja Classique, Andheri West Mumbai               ",19.1414568,72.83009685,mumbai,Furnished,3,Bachelors,1300 sqft,15 out of 22,North - East,"Garden/Park, Pool, Main Road",Raheja Classique,180000
2,Apartment,Rent,"Lodha Altia, Wadala East Mumbai               ",19.03875255,72.87791821,mumbai,Unfurnished,2,Bachelors/Family,640 sqft,16 out of 38,North - East,"Garden/Park, Pool",Lodha Altia,110000
3,Apartment,Rent,Khar West Mumbai                 ,19.0682411,72.8400412,mumbai,Semi-Furnished,3,Bachelors,1100 sqft,5 out of 12,South -West,Main Road,,260000
3,Apartment,Rent,"Raj Infinia, Malad West Mumbai               ",Error,Error,mumbai,Unfurnished,3,Bachelors,1095 sqft,10 out of 37,West,"Garden/Park, Pool, Main Road",Raj Infinia,"82,000"
4,Apartment,Rent,"Godrej The Trees, Vikhroli East Mumbai              ",53.769257,-0.356999,mumbai,Semi-Furnished,4,Bachelors/Family,1754 sqft,2 out of 12,West,"Garden/Park, Main Road",Godrej The Trees,270000
4,Apartment,Rent,Bandra West Mumbai                 ,19.0583358,72.8302669,mumbai,Semi-Furnished,5,Bachelors,1500 sqft,7 out of 10,West,"Garden/Park, Pool, Main Road",,350000
3,Apartment,Rent,"Konark Aria Park, Mulund East Mumbai              ",Error,Error,mumbai,Unfurnished,3,Bachelors/Family,1031 sqft,East,Garden/Park,Konark Aria Park,Konark Aria Park,"76,000"
3,Apartment,Rent,"Kohinoor City, Kurla West Mumbai               ",19.0753827,72.88655507,mumbai,Semi-Furnished,3,Bachelors,1100 sqft,5 out of 10,West,Garden/Park,Kohinoor City,"85,000"
4,Apartment,Rent,"Band Stand, Bandra West Mumbai               ",19.04562925,72.82098432,mumbai,Semi-Furnished,5,Bachelors,3300 sqft,12 out of 14,East,"Pool, Garden/Park, Main Road",Band Stand,1000000
2,Apartment,Rent,"Dudhwala Proxima, Andheri East Mumbai               ",19.106394,72.88369,mumbai,Unfurnished,2,Bachelors/Family,875 sqft,8 out of 16,North - East,Main Road,Dudhwala Proxima,100000
3,Apartment,Rent,"Oberoi Exquisite II, Goregaon East Mumbai              ",Error,Error,mumbai,Semi-Furnished,3,Family,1360 sqft,35 out of 55,East,"Garden/Park, Main Road",Oberoi Exquisite II,180000
2,Apartment,Rent,"Lake Primrose, Powai Mumbai                ",19.122189,72.9146178,mumbai,Semi-Furnished,2,Bachelors/Family,800 sqft,6 out of 22,East,Main Road,Lake Primrose,"80,000"
3,Apartment,Rent,"Alpine Shapoorji Pallonji, Kandivali East Mumbai              ",Error,Error,mumbai,Unfurnished,3,Family,1250 sqft,3 out of 3,East,Pool,Alpine Shapoorji Pallonji,"90,000"
2,Apartment,Rent,Kandivali West Mumbai                 ,19.2084439,72.8420309,mumbai,Unfurnished,2,Family,651 sqft,4 out of 7,East,"Garden/Park, Main Road",,"40,000"
2,Apartment,Rent,Santacruz East Mumbai                 ,19.0796105,72.8470573,mumbai,Furnished,2,Family,800 sqft,6 out of 8,East,Garden/Park,,"95,000"
2,Apartment,Rent,"Zee Jayshree, Vile Parle East Mumbai              ",Error,Error,mumbai,Unfurnished,2,Family,761 sqft,3 out of 6,East,Garden/Park,Zee Jayshree,"85,000"
1,Apartment,Rent,"Omkar Signet, Malad East Mumbai               ",Error,Error,mumbai,Semi-Furnished,2,Bachelors,333 sqft,22 out of 33,East,"Pool, Garden/Park, Main Road",Omkar Signet,"37,000"
3,Apartment,Rent,Mulund West Mumbai                 ,19.1719717,72.9511956,mumbai,Semi-Furnished,2,Bachelors/Family,950 sqft,1 out of 7,"Garden/Park, Main Road",2,,"65,000"
2,Apartment,Rent,"Montreal Tower, Shastri Nagar Andheri West Mumbai             ",-6.223158,106.841956,mumbai,Semi-Furnished,2,Family,800 sqft,3 out of 25,North,"Pool, Garden/Park, Main Road",Montreal Tower,"75,000"
2,Apartment,Rent,Waterfield Road Mumbai                 ,19.0636776,72.8346505,mumbai,Semi-Furnished,2,Bachelors/Family,800 sqft,7 out of 12,East,2,,180000
2,Apartment,Rent,"Panju Mahal Apartment, Bandra West Mumbai              ",Error,Error,mumbai,Furnished,2,Bachelors,1000 sqft,3 out of 7,North - West,"Garden/Park, Main Road",Panju Mahal Apartment,160000
