BHK,Type,Purpose,Location,Latitude,Longitude,City,furnishing,Bathroom,tenant_preferred,carpet_area,floor,direction,overlooking,society,amount
3,Builder,Rent,in Greater Kailash 1 New Delhi              ,28.470777,77.50535,new delhi,Semi-Furnished,3,Bachelors,217 sqyrd,2 out of 4,North - East,"Pool, Garden/Park, Main Road",,130000
2,Apartment,Rent,"DDA Ganga Triveni Apartment, Sector 9 Rohini New Delhi           ",Error,Error,new delhi,Semi-Furnished,2,Bachelors/Family,950 sqft,2 out of 4,North - West,"Garden/Park, Main Road",DDA Ganga Triveni Apartment,"25,000"
2,Apartment,Rent,"DDA Flats Sector 23, Sector 23B Dwarka New Delhi           ",39.03171,-90.26122,new delhi,Furnished,2,Bachelors/Family,1000 sqft,2 out of 4,DDA Flats Sector 23,2,DDA Flats Sector 23,"30,000"
3,Builder,Rent,"in Greater Kailash Builder Floors, Greater Kailash New Delhi           ",Error,Error,new delhi,Furnished,2,Bachelors/Family,208 sqyrd,2 out of 3,North - East,Main Road,Greater Kailash Builder Floors,"90,000"
3,Apartment,Rent,Delhi State apartment New Delhi               ,28.557163,77.163665,new delhi,Semi-Furnished,3,Bachelors/Family,2200 sqft,2 out of 10,3,4,,"70,000"
2,Apartment,Rent,"DDA Flats Vasant Kunj, Vasant Kunj New Delhi            ",28.555319,77.176455,new delhi,Furnished,2,Bachelors/Family,950 sqft,3 out of 4,North - East,Garden/Park,DDA Flats Vasant Kunj,"55,000"
3,Apartment,Rent,"Pragya Apartments, Sector 2 Dwarka New Delhi             ",28.523193,77.205001,new delhi,Semi-Furnished,3,Bachelors/Family,1650 sqft,5 out of 10,North - East,"Garden/Park, Main Road",Pragya Apartments,"55,000"
3,Builder,Rent,"in Kishangarh, Vasant Kunj New Delhi              ",28.5266458,77.1618168,new delhi,Semi-Furnished,3,Bachelors/Family,1300 sqft,2 out of 5,South,Main Road,,"40,000"
4,Apartment,Rent,"Sunny Valley Apartments, Sector 12 Dwarka New Delhi            ",39.03171,-90.26122,new delhi,Furnished,4,Bachelors/Family,2450 sqft,5 out of 10,North - East,"Garden/Park, Main Road",Sunny Valley Apartments,"70,000"
4,Apartment,Rent,"Samrat Ashok Enclave Apartment, Sector 18 Dwarka New Delhi           ",28.603388,77.082438,new delhi,Semi-Furnished,4,Bachelors/Family,1800 sqft,10 out of 10,North - East,"Garden/Park, Main Road",Samrat Ashok Enclave Apartment,"55,000"
4,Builder,Rent,"in Safdarjung Development Area, Hauz Khas New Delhi            ",28.548095,77.196914,new delhi,Semi-Furnished,5,Bachelors/Family,2700 sqft,2 out of 4,Garden/Park,5,,350000
4,Apartment,Rent,"Greater Kailash Builder Floors, Greater Kailash New Delhi            ",Error,Error,new delhi,Unfurnished,4,Bachelors,4700 sqft,Ground out of 4,North - East,"Garden/Park, Pool, Main Road",Greater Kailash Builder Floors,200000
4,Builder,Rent,in Greater Kailash 2 New Delhi              ,28.470777,77.50535,new delhi,Furnished,4,Bachelors/Family,300 sqyrd,1 out of 4,North - East,Garden/Park,,350000
3,Apartment,Rent,"Ashadeep Apartment, Sector 2 Dwarka New Delhi             ",28.596115,77.070472,new delhi,Semi-Furnished,3,Bachelors,1500 sqft,3 out of 10,North - West,Garden/Park,Ashadeep Apartment,"38,000"
3,Apartment,Rent,"Joy Apartment, Sector 2 Dwarka New Delhi             ",28.596583,77.069201,new delhi,Semi-Furnished,3,Family,1750 sqft,10 out of 10,North - East,Garden/Park,Joy Apartment,"42,000"
3,Apartment,Rent,"Golf View Condos, Sector 19B Dwarka New Delhi            ",39.03171,-90.26122,new delhi,Semi-Furnished,3,Bachelors/Family,2200 sqft,4 out of 13,East,Garden/Park,Golf View Condos,"55,000"
2,Apartment,Rent,"Sarvhit Apartments DDA Flats, Sector 17 Dwarka New Delhi           ",28.735409,77.169802,new delhi,Semi-Furnished,2,Bachelors/Family,900 sqft,Ground out of 3,North - East,Main Road,Sarvhit Apartments DDA Flats,"25,000"
3,Apartment,Rent,"Joy Apartment, Sector 2 Dwarka New Delhi             ",28.596583,77.069201,new delhi,Semi-Furnished,4,Bachelors/Family,2000 sqft,3 out of 10,North - West,Garden/Park,Joy Apartment,"65,000"
4,Apartment,Rent,"Moti Nagar, Kirti Nagar New Delhi              ",28.647577,77.145644,new delhi,Semi-Furnished,3,Bachelors/Family,1700 sqft,6 out of 27,East,"Garden/Park, Main Road",,110000
Studio,for,Rent,7 Dwarka New Delhi                ,28.5352933,77.1115354,new delhi,Semi-Furnished,1,Bachelors,120 sqft,3 out of 4,East,"Garden/Park, Main Road",,"12,500"
4,Apartment,Rent,"The Excellence Apartment, Sector 18 Dwarka New Delhi            ",28.636499,77.282351,new delhi,Semi-Furnished,4,Bachelors/Family,2450 sqft,8 out of 10,North - East,"Garden/Park, Main Road",The Excellence Apartment,"65,000"
4,Builder,Rent,in Anand Vihar New Delhi               ,28.64673,77.315289,new delhi,Unfurnished,4,Bachelors,280 sqyrd,3 out of 4,East,"Garden/Park, Pool, Main Road",,"80,000"
1,Apartment,Rent,"Jangpura B, Jangpura New Delhi               ",28.583333,77.250198,new delhi,Furnished,1,Bachelors/Family,300 sqft,4 out of 4,West,Garden/Park,,"20,000"
