gender,base_price,food_included,beds_available,city,location,room_type1,room_type1_price,room_type2,room_type2_price,room_type3,room_type3_price,wifi_available,ac_available,food_available,landmark1,landmark2,landmark3,pg_rating,no_of_ratings
Girls,"11,999",Food Included,Beds Available,new delhi,in Rajouri Garden,Single Room With AC,"21,999",Twin Sharing With AC,"12,999",Others With AC,"11,999",Wifi Available,AC Available,Food Available,0.1 Km from Gurukul International School,10.9 Km from Dwarka Sec-21 Metro Station,0.3 Km from Rajouri Garden (Blue And Pink Line),,
Boys,"14,000",Food Included,Beds Available,new delhi,in Sector 8 Dwarka,Single Room With AC,"21,000",Twin Sharing With AC,"14,000",,,Wifi Available,AC Available,Food Available,0.2 Km from Gargia World School,2.8 Km from Dwarka Sec-21 Metro Station,0.7 Km from Dwarka Sector 8 (Blue Line),,
Girls,"14,000",Food Included,Beds Available,new delhi,in Gautam Nagar,Single Room With AC,"21,000",Twin Sharing With AC,"14,000",,,Wifi Available,AC Available,Food Available,0.1 Km from Mother International School,15.8 Km from Dwarka Sec-21 Metro Station,0.5 Km from Hauz Khas Station (Yellow Line),,
Girls,"12,000",Food Included,Beds Available,new delhi,in GTB Nagar,Single Room With AC,"18,000",Twin Sharing With AC,"12,500",Triple Sharing With AC,"12,000",Wifi Available,AC Available,Food Available,0.1 Km from Khan Study Circle IAS Coaching,18.7 Km from Mundka Metro Station,0.6 Km from GTB Nagar,,
Coed,"19,999",,Beds Available,new delhi,in Vasant Kunj,Single Room With AC,"19,999",,,,,Wifi Available,AC Available,Food Not Available,0.7 Km from St. Andrews Gd Goenka Public School,11.5 Km from Dwarka Sec-21 Metro Station,3.1 Km from Sultanpur Metro Station,,
Coed,"9,999",,Beds Available,new delhi,in Dwarka,Single Room With AC,"13,999",Twin Sharing With AC,"9,999",,,Wifi Available,AC Available,Food Not Available,0.1 Km from Shiksha Bharti Public School,2.0 Km from Dwarka Sec-21 Metro Station,0.5 Km from Dwarka Sector 12 Metro Station,,
Girls,"12,000",Food Included,Beds Available,new delhi,in Kamla Nagar,Single Room With AC,"22,000",Twin Sharing With AC,"12,000",Triple Sharing With AC,"12,000",Wifi Available,AC Available,Food Available,0.3 Km from Nigam Pratibha Coed School,18.9 Km from Mundka Metro Station,1.6 Km from Pratap Nagar Metro Station,,
Coed,"6,999",Food Included,Beds Available,new delhi,in Dwarka Mor,Single Room With AC,"13,999",Twin Sharing With AC,"8,000",Triple Sharing With AC,"6,999",Wifi Available,AC Available,Food Available,0.1 Km from Ring Midways Public School,5.7 Km from Dwarka Sec-21 Metro Station,0.6 Km from Dwarka Metro Station,,
Girls,"13,000",Food Included,Beds Available,new delhi,in Kamla Nagar,Single Room With AC,"24,000",Twin Sharing With AC,"13,000",,,Wifi Available,AC Available,Food Available,0.3 Km from Nigam Pratibha Coed School,18.9 Km from Mundka Metro Station,1.6 Km from Pratap Nagar Metro Station,,
Boys,"14,999",Food Included,Beds Available,new delhi,in Kalkaji,Twin Sharing With AC,"19,999",Triple Sharing With AC,"14,999",,,Wifi Available,AC Available,Food Available,0.2 Km from Mcd School,21.1 Km from Dwarka Sec-21 Metro Station,0.8 Km from Govindpuri Metro (Violet Line),,
Boys,"9,000",Food Included,Beds Available,new delhi,in Laxmi Nagar,Single Room With AC,"16,000",Twin Sharing With AC,"9,000",,,Wifi Available,AC Available,Food Available,"0.5 Km from Target Classes-Crash Course For Iit Jee Pmt, Engin",23.0 Km from Dwarka Sec-21 Metro Station,1.0 Km from Laxmi Nagar (Blue Line),,
Girls,"12,000",Food Included,Beds Available,new delhi,in Kamla Nagar,Single Room With AC,"17,000",Twin Sharing With AC,"14,000",Triple Sharing With AC,"12,000",Wifi Available,AC Available,Food Available,0.3 Km from Nigam Pratibha Coed School,18.9 Km from Mundka Metro Station,1.6 Km from Pratap Nagar Metro Station,,
Girls,"9,500",Food Included,Beds Available,new delhi,in Laxmi Nagar,Twin Sharing With AC,"12,500",Triple Sharing With AC,"9,500",,,,,,0.0 Km from Rishabh Public School,24.3 Km from Dwarka Sec-21 Metro Station,0.2 Km from Mayur Vihar Phase-1 Metro Station,5.0,1 Ratings
Coed,"7,500",,Beds Available,new delhi,in Rangpuri,Twin Sharing With AC,"7,500",,,,,Wifi Not Available,AC Available,Food Not Available,0.7 Km from Crpf Public School,8.1 Km from Dwarka Sec-21 Metro Station,2.5 Km from Terminal 1C (Domestic Arrival),4.5,2 Ratings
Girls,"7,499",Food Included,Beds Available,new delhi,in Laxmi Nagar,Single Room With AC,"9,999",Twin Sharing With AC,"7,999",Triple Sharing With AC,"7,499",Wifi Available,AC Available,Food Available,"0.5 Km from Target Classes-Crash Course For Iit Jee Pmt, Engin",23.0 Km from Dwarka Sec-21 Metro Station,1.0 Km from Laxmi Nagar (Blue Line),,
,"6,500",,Beds Available,new delhi,in Ghitorni,Single Room With AC,"12,000",Twin Sharing With AC,"8,500",Triple Sharing With AC,"7,000",,,,0.4 Km from Government Boys Senior Secondary School Ghitorni,12.9 Km from Dwarka Sec-21 Metro Station,1.4 Km from Arjan Garh (Yellow Line),,
Coed,"28,000",Food Included,Beds Available,new delhi,in Jasola Vihar,Single Room With AC,"56,000",Twin Sharing With AC,"28,000",,,Wifi Available,AC Available,Food Available,0.3 Km from Jasola Public School,23.8 Km from Dwarka Sec-21 Metro Station,1.0 Km from Jasola Vihar Shaheen Bagh (Mgenta Line),,
Girls,"18,030",Food Included,Beds Available,new delhi,in Lajpat Nagar 4,Twin Sharing With AC,"18,030",Triple Sharing With AC,"19,390",,,Wifi Available,AC Available,Food Available,0.2 Km from My First Steps,19.3 Km from Dwarka Sec-21 Metro Station,0.6 Km from Kailash Colony Station (Violet Line),,
Boys,"12,670",Food Included,Beds Available,new delhi,in Lajpat Nagar 4,Twin Sharing With AC,"13,790",Triple Sharing With AC,"12,670",,,Wifi Available,AC Available,Food Available,0.2 Km from My First Steps,19.3 Km from Dwarka Sec-21 Metro Station,0.6 Km from Kailash Colony Station (Violet Line),,
Girls,"13,500",Food Included,Beds Available,new delhi,in Kalkaji,Single Room With AC,"24,000",Twin Sharing With AC,"17,500",Triple Sharing With AC,"13,500",Wifi Available,AC Available,Food Available,0.2 Km from Mcd School,21.1 Km from Dwarka Sec-21 Metro Station,0.8 Km from Govindpuri Metro (Violet Line),5.0,1 Ratings
Girls,"13,500",Food Included,Beds Available,new delhi,in Greater Kailash 1,Single Room With AC,"34,000",Twin Sharing With AC,"17,500",Triple Sharing With AC,"13,500",Wifi Available,AC Available,Food Available,0.0 Km from Mata Gujri Public School,18.6 Km from Dwarka Sec-21 Metro Station,1.0 Km from Kailash Colony Metro Station (Violet Line),,
Girls,"13,999",Food Included,Beds Available,new delhi,in Shalimar bagh,Single Room With AC,"16,999",Twin Sharing With AC,"13,999",,,Wifi Not Available,AC Available,Food Available,0.4 Km from North Delhi Public School,14.5 Km from Mundka Metro Station,0.6 Km from Shalimar Bagh (Pink Line),,
Girls,"16,000",Food Included,Beds Available,new delhi,in Kamla Nagar,Twin Sharing With AC,"17,000",Triple Sharing With AC,"16,000",,,Wifi Available,AC Available,Food Available,0.0 Km from The Grammar School,16.1 Km from Mundka Metro Station,1.3 Km from Keshav Puram Metro Station,,
Girls,"16,000",Food Included,Beds Available,new delhi,in Greater Kailash,Single Room With AC,"22,000",Twin Sharing With AC,"16,000",,,Wifi Available,AC Available,Food Available,0.6 Km from Mata Gujri Public School,19.1 Km from Dwarka Sec-21 Metro Station,0.7 Km from Greater Kailash (Magenta Line),,
Girls,"8,499",Food Included,Beds Available,new delhi,in Laxmi Nagar,Twin Sharing With AC,"10,499",Triple Sharing With AC,"8,499",Four Sharing With AC,"8,500",Wifi Available,AC Available,Food Available,"0.5 Km from Target Classes-Crash Course For Iit Jee Pmt, Engin",23.0 Km from Dwarka Sec-21 Metro Station,1.0 Km from Laxmi Nagar (Blue Line),,
Girls,"7,000",,Beds Available,new delhi,in Palam,Single Room,"7,000",,,,,,,,0.3 Km from Jbm Public School,5.2 Km from Dwarka Sec-21 Metro Station,1.1 Km from Palam Metro Station (Magenta Line),,
Boys,"13,000",Food Included,Beds Available,new delhi,in Malviya Nagar,Twin Sharing With AC,"13,000",,,,,,,,0.1 Km from Shri Aurobindo College,17.1 Km from Dwarka Sec-21 Metro Station,0.5 Km from Malviya Nagar Metro Station,,
Girls,"9,500",Food Included,Beds Available,new delhi,in Sangam Vihar,Single Room With AC,"14,000",Twin Sharing With AC,"10,000",Triple Sharing With AC,"9,500",Wifi Available,AC Available,Food Available,0.5 Km from Amrita Public School,20.8 Km from Dwarka Sec-21 Metro Station,4.1 Km from Saket Metro Station,,
Girls,"12,000",Food Included,Beds Available,new delhi,in Vijay Nagar,Twin Sharing With AC,"17,000",Triple Sharing With AC,"12,000",,,Wifi Available,AC Available,Food Available,0.4 Km from Shri Ram College of Commerce,18.9 Km from Mundka Metro Station,0.8 Km from GTB Nagar,,
Coed,"10,000",Food Included,Beds Available,new delhi,in Mukherjee Nagar,Single Room With AC,"14,000",Twin Sharing With AC,"10,000",,,Wifi Available,AC Available,Food Available,0.0 Km from Sarvodaya Vidyalaya,19.7 Km from Mundka Metro Station,1.4 Km from GTB Nagar,,
Girls,"11,999",Food Included,Beds Available,new delhi,in Rajouri Garden,Single Room With AC,"21,999",Twin Sharing With AC,"12,999",Others With AC,"11,999",Wifi Available,AC Available,Food Available,0.1 Km from Gurukul International School,10.9 Km from Dwarka Sec-21 Metro Station,0.3 Km from Rajouri Garden (Blue And Pink Line),,
Boys,"14,000",Food Included,Beds Available,new delhi,in Sector 8 Dwarka,Single Room With AC,"21,000",Twin Sharing With AC,"14,000",,,Wifi Available,AC Available,Food Available,0.2 Km from Gargia World School,2.8 Km from Dwarka Sec-21 Metro Station,0.7 Km from Dwarka Sector 8 (Blue Line),,
Girls,"4,999",Food Included,Beds Available,new delhi,in Mukherjee Nagar,Single Room With AC,"6,999",Twin Sharing With AC,"4,999",Triple Sharing With AC,"6,499",Wifi Available,AC Available,Food Available,0.0 Km from Sarvodaya Vidyalaya,19.7 Km from Mundka Metro Station,1.4 Km from GTB Nagar,,
Girls,"6,999",Food Charge extra,Beds Available,new delhi,in Rajouri Garden,Single Room With AC,"19,999",Twin Sharing With AC,"9,999",Triple Sharing With AC,"6,999",Wifi Available,AC Available,Food Available,0.1 Km from Gurukul International School,10.9 Km from Dwarka Sec-21 Metro Station,0.3 Km from Rajouri Garden (Blue And Pink Line),5.0,1 Ratings
Boys,"9,500",Food Included,Beds Available,new delhi,in South Extension 1,Single Room With AC,"15,000",Twin Sharing With AC,"10,000",Triple Sharing With AC,"9,500",Wifi Available,AC Available,Food Available,0.3 Km from International Institute Of Mass Media,17.4 Km from Dwarka Sec-21 Metro Station,0.1 Km from South Extension (Pink Line),,
Coed,"12,000",Food Included,Beds Available,new delhi,in East Of Kailash,Single Room With AC,"25,000",Twin Sharing With AC,"15,000",Triple Sharing With AC,"12,000",Wifi Available,AC Available,Food Available,0.0 Km from Blue Bells International School,20.2 Km from Dwarka Sec-21 Metro Station,0.3 Km from Nehru Place (Violent Line),,
Coed,"11,000",Food Included,Beds Available,new delhi,"in Kailash Colony, Greater Kailash",Single Room With AC,"16,000",Twin Sharing With AC,"11,000",,,Wifi Available,AC Available,Food Available,0.3 Km from Summer Field School,19.3 Km from Dwarka Sec-21 Metro Station,0.2 Km from Kailash Colony Station (Violet Line),,
Girls,"11,999",Food Included,Beds Available,new delhi,in Kalkaji,Twin Sharing With AC,"14,999",Triple Sharing With AC,"12,999",Four Sharing With AC,"11,999",Wifi Available,AC Available,Food Available,0.2 Km from Mcd School,21.1 Km from Dwarka Sec-21 Metro Station,0.8 Km from Govindpuri Metro (Violet Line),,
Girls,"14,000",Food Included,Beds Available,new delhi,in Safdarjung Enclave,Single Room With AC,"22,000",Twin Sharing With AC,"14,000",,,Wifi Available,AC Available,Food Available,0.2 Km from Green Fields School,14.7 Km from Dwarka Sec-21 Metro Station,0.9 Km from Bhikaji Cama Place Metro Station (Pink Line),,
Girls,"13,999",Food Included,Beds Available,new delhi,in Lajpat Nagar,Single Room With AC,"17,999",Twin Sharing With AC,"14,999",Triple Sharing With AC,"13,999",Wifi Available,AC Available,Food Available,0.4 Km from Government Girls Senior Secondary School No 1,19.4 Km from Dwarka Sec-21 Metro Station,0.4 Km from Lajpat Nagar Metro Station (Pink Line And Violet Line),,
Girls,"15,000",Food Included,Beds Available,new delhi,in Greater Kailash 1,Twin Sharing With AC,"15,000",,,,,Wifi Available,AC Available,Food Available,0.0 Km from Mata Gujri Public School,18.6 Km from Dwarka Sec-21 Metro Station,1.0 Km from Kailash Colony Metro Station (Violet Line),4.7,6 Ratings
Girls,"10,000",Food Charge extra,Beds Available,new delhi,in Dwarka Mor,Twin Sharing With AC,"10,000",,,,,,,,0.2 Km from Delight Public School,5.8 Km from Dwarka Sec-21 Metro Station,0.7 Km from Dwarka Morh Metro Station,,
Girls,"9,000",Food Included,Beds Available,new delhi,in Govindpuri,Single Room With AC,"17,000",Twin Sharing With AC,"11,000",Triple Sharing With AC,"10,000",Wifi Available,AC Available,Food Available,0.2 Km from Jagdamba Public School,21.8 Km from Dwarka Sec-21 Metro Station,1.0 Km from Govindpuri Metro (Violet Line),,
Coed,"10,000",Food Included,Beds Available,new delhi,in Govindpuri,Single Room With AC,"17,000",Twin Sharing With AC,"11,000",Triple Sharing With AC,"10,000",Wifi Available,AC Available,Food Available,0.2 Km from Jagdamba Public School,21.8 Km from Dwarka Sec-21 Metro Station,1.0 Km from Govindpuri Metro (Violet Line),,
Girls,"7,500",Food Charge extra,Beds Available,new delhi,in Uttam Nagar,Twin Sharing With AC,"7,500",,,,,Wifi Available,AC Available,Food Available,0.3 Km from Sirifort College Of Computer Technology And Management,5.4 Km from Dwarka Sec-21 Metro Station,0.0 Km from Uttam Nagar West Metro Station,,
Girls,"8,000",Food Charge extra,Beds Available,new delhi,in GTB Nagar,Twin Sharing With AC,"9,000",Triple Sharing With AC,"8,000",,,Wifi Available,AC Available,Food Available,0.1 Km from Khan Study Circle IAS Coaching,18.7 Km from Mundka Metro Station,0.6 Km from GTB Nagar,,
Girls,"6,999",Food Included,Beds Available,new delhi,in Shakarpur,Single Room With AC,"12,999",Twin Sharing With AC,"7,999",Triple Sharing With AC,"6,999",Wifi Available,AC Available,Food Available,0.2 Km from Ambedkar Institute Of Technology,23.8 Km from Dwarka Sec-21 Metro Station,0.3 Km from Laxmi Nagar (Blue Line),,
Girls,"11,000",Food Included,Beds Available,new delhi,in South Extension 1,Single Room With AC,"16,000",Twin Sharing With AC,"13,000",Triple Sharing With AC,"12,000",,,,0.0 Km from Avanti Learning Centres - Corporate Office,17.4 Km from Dwarka Sec-21 Metro Station,0.5 Km from South Extension (Pink Line),5.0,1 Ratings
Girls,"9,500",,Beds Available,new delhi,in Preet Vihar,Twin Sharing With AC,"9,500",,,,,Wifi Available,AC Available,Food Available,0.0 Km from Bal Mandir School,25.4 Km from Dwarka Sec-21 Metro Station,0.5 Km from Preet Vihar Metro Station (Blue Line),,
Girls,"8,999",Food Included,Beds Available,new delhi,in Laxmi Nagar,Single Room With AC,"12,999",Twin Sharing With AC,"10,999",Triple Sharing With AC,"8,999",Wifi Available,AC Available,Food Available,"0.5 Km from Target Classes-Crash Course For Iit Jee Pmt, Engin",23.0 Km from Dwarka Sec-21 Metro Station,1.0 Km from Laxmi Nagar (Blue Line),,
Girls,"6,500",,Beds Available,new delhi,"in Fateh Nagar, Janakpuri",Twin Sharing With AC,"7,000",Triple Sharing With AC,"6,500",,,Wifi Available,AC Available,Food Not Available,0.2 Km from Adarsh Model School,9.1 Km from Dwarka Sec-21 Metro Station,0.9 Km from Subhash Nagar Metro Station (Blue Line),,
Girls,"9,999",Food Charge extra,Beds Available,new delhi,in Chittaranjan Park,Single Room With AC,"11,999",Twin Sharing With AC,"9,999",,,Wifi Available,AC Available,Food Available,0.5 Km from Ramanujan College,21.0 Km from Dwarka Sec-21 Metro Station,1.3 Km from Nehru Enclave Metro Station (Magenta Line),,
Girls,"9,000",,Beds Available,new delhi,in Dilshad Garden,Single Room With AC,"9,000",,,,,"Wifi Not
									Available",AC Available,Food Not Available,0.3 Km from New Creation Public School,28.6 Km from Dwarka Sec-21 Metro Station,0.1 Km from Jhilmil Metro Station,5.0,1 Ratings
Girls,"17,000",Food Included,Beds Available,new delhi,in Greater Kailash 1,Single Room With AC,"30,000",Twin Sharing With AC,"18,000",Triple Sharing With AC,"17,000",Wifi Available,AC Available,Food Available,0.3 Km from Kendriya Vidyalaya Andrews Ganj,18.5 Km from Dwarka Sec-21 Metro Station,0.6 Km from Kailash Colony Station (Violet Line),,
Coed,"8,499",Food Included,Beds Available,new delhi,"in Mohan Cooperative Industrial Estate, Badarpur, Mathura Road",Single Room With AC,"17,999",Twin Sharing With AC,"11,999",Triple Sharing With AC,"9,499",Wifi Available,AC Available,Food Available,0.4 Km from Rai Business School,25.9 Km from Dwarka Sec-21 Metro Station,0.4 Km from Mohan Estate Metro Station,,
Girls,"10,000",Food Included,Beds Available,new delhi,in Lajpat Nagar,Single Room With AC,"14,000",Triple Sharing With AC,"10,000",,,Wifi Available,AC Available,Food Available,0.4 Km from Government Girls Senior Secondary School No 1,19.4 Km from Dwarka Sec-21 Metro Station,0.4 Km from Lajpat Nagar Metro Station (Pink Line And Violet Line),,
Coed,"8,499",Food Included,Beds Available,new delhi,"in Sarita Vihar, Mathura Road",Single Room With AC,"17,999",Twin Sharing With AC,"11,999",Triple Sharing With AC,"9,499",Wifi Available,AC Available,Food Available,0.2 Km from Shemrock Jingles,24.7 Km from Dwarka Sec-21 Metro Station,0.6 Km from Sarita Vihar Depot Metro Station,,
Girls,"11,000",,Beds Available,new delhi,in Laxmi Nagar,Single Room With AC,"11,000",Twin Sharing With AC,"11,000",Triple Sharing With AC,"11,000",Wifi Available,AC Available,Food Not Available,"0.5 Km from Target Classes-Crash Course For Iit Jee Pmt, Engin",23.0 Km from Dwarka Sec-21 Metro Station,1.0 Km from Laxmi Nagar (Blue Line),,
Girls,"9,999",Food Included,Beds Available,new delhi,in Laxmi Nagar,Single Room With AC,"11,999",Twin Sharing With AC,"9,999",,,Wifi Available,AC Available,Food Available,"0.5 Km from Target Classes-Crash Course For Iit Jee Pmt, Engin",23.0 Km from Dwarka Sec-21 Metro Station,1.0 Km from Laxmi Nagar (Blue Line),,
Girls,"7,500",Food Included,Beds Available,new delhi,in Uttam Nagar,Single Room With AC,"14,000",Twin Sharing With AC,"7,500",,,Wifi Available,AC Available,Food Available,0.3 Km from Sirifort College Of Computer Technology And Management,5.3 Km from Dwarka Sec-21 Metro Station,0.3 Km from Uttam Nagar West Metro Station (Blue Line),,
Girls,"9,000",Food Charge extra,Beds Available,new delhi,in Chattarpur Enclave,Twin Sharing With AC,"9,000",,,,,,,,0.0 Km from Oxford Angel Public School,16.0 Km from Dwarka Sec-21 Metro Station,1.3 Km from Chhattarpur Metro Station (Yellow Line),5.0,1 Ratings
Girls,"7,000",Food Included,Beds Available,new delhi,"in Uttam Nagar East, Uttam Nagar",Single Room With AC,"13,000",Twin Sharing With AC,"10,000",Triple Sharing With AC,"7,000",Wifi Available,AC Available,Food Available,0.1 Km from New Holy Public School,5.7 Km from Dwarka Sec-21 Metro Station,0.4 Km from Uttam Nagar East Metro Station (Blue Line),,
Boys,"8,500",Food Included,Beds Available,new delhi,in Mahipalpur,Single Room With AC,"15,000",Twin Sharing With AC,"8,500",,,Wifi Available,AC Available,Food Available,0.4 Km from Ram Pre Primary School,9.2 Km from Dwarka Sec-21 Metro Station,2.2 Km from Terminal 1C (Domestic Arrival),,
Boys,"10,000",,Beds Available,new delhi,in Pitam Pura,Twin Sharing With AC,"10,000",,,,,Wifi Available,AC Available,Food Available,0.5 Km from Presidium School Pitampura,12.5 Km from Mundka Metro Station,0.4 Km from Kohat Enclave Metro Station (Red Line),,
Girls,"6,500",,Beds Available,new delhi,in Uttam Nagar,Twin Sharing With AC,"6,500",Triple Sharing,"6,500",,,Wifi Available,AC Available,Food Available,0.3 Km from Sirifort College Of Computer Technology And Management,5.3 Km from Dwarka Sec-21 Metro Station,0.3 Km from Uttam Nagar West Metro Station (Blue Line),,
Girls,"6,500",,Beds Available,new delhi,in IP Extension,Twin Sharing,"6,500",,,,,,,,0.3 Km from Oxford Modern Public School,27.9 Km from Dwarka Sec-21 Metro Station,1.2 Km from Mansarovar Park Metro Station,,
Boys,"8,000",,Beds Available,new delhi,in South Extension 1,Twin Sharing With AC,"10,500",Triple Sharing With AC,"8,000",,,Wifi Available,AC Available,Food Available,0.0 Km from Avanti Learning Centres - Corporate Office,17.4 Km from Dwarka Sec-21 Metro Station,0.5 Km from South Extension (Pink Line),,
Coed,"7,999",Food Included,Beds Available,new delhi,"in Sarita Vihar, Mathura Road",Single Room With AC,"14,999",Twin Sharing With AC,"11,999",Triple Sharing With AC,"9,999",Wifi Available,AC Available,Food Available,0.2 Km from Shemrock Jingles,24.7 Km from Dwarka Sec-21 Metro Station,0.6 Km from Sarita Vihar Depot Metro Station,,
Girls,"13,000",Food Included,Beds Available,new delhi,in Kamla Nagar,Single Room With AC,"20,000",Twin Sharing With AC,"15,000",Triple Sharing With AC,"13,000",Wifi Available,AC Available,Food Available,0.3 Km from Nigam Pratibha Coed School,18.9 Km from Mundka Metro Station,1.6 Km from Pratap Nagar Metro Station,,
Girls,"9,000",,Beds Available,new delhi,in Ashok Vihar,Single Room With AC,"15,000",Twin Sharing With AC,"14,000",Triple Sharing With AC,"11,000",Wifi Available,AC Available,Food Not Available,0.0 Km from The Grammar School,16.1 Km from Mundka Metro Station,1.3 Km from Keshav Puram Metro Station,,
Girls,"21,000",Food Included,Beds Available,new delhi,in Greater Kailash 1,Single Room With AC,"21,000",,,,,Wifi Available,AC Available,Food Available,0.0 Km from Mata Gujri Public School,18.6 Km from Dwarka Sec-21 Metro Station,1.0 Km from Kailash Colony Metro Station (Violet Line),,
Girls,"6,500",,Beds Available,new delhi,in Sector 15F Rohini,Single Room With AC,"12,000",Twin Sharing With AC,"6,500",,,,,,0.2 Km from Vidya Bharti School Rohini,13.3 Km from Mundka Metro Station,0.6 Km from Rohini Sector- 18 (Yellow Line),,
Coed,"11,000",Food Included,Beds Available,new delhi,in Gautam Nagar,Single Room With AC,"17,000",Twin Sharing With AC,"13,000",Triple Sharing With AC,"11,000",Wifi Available,AC Available,Food Available,0.2 Km from Father Agnel School,16.5 Km from Dwarka Sec-21 Metro Station,0.4 Km from South Extension Metro Station (Pink Line),4.0,1 Ratings
Coed,"7,999",Food Included,Beds Available,new delhi,in Laxmi Nagar,Single Room With AC,"11,999",Twin Sharing With AC,"8,999",Triple Sharing With AC,"7,999",Wifi Available,AC Available,Food Available,"0.5 Km from Target Classes-Crash Course For Iit Jee Pmt, Engin",23.0 Km from Dwarka Sec-21 Metro Station,1.0 Km from Laxmi Nagar (Blue Line),,
Boys,"3,800",,Beds Available,new delhi,in Mayur Vihar 1,Twin Sharing,"4,800",Triple Sharing,"3,800",,,Wifi Available,"AC Not
									Available",Food Available,0.0 Km from Rao Iit Academy - Best Iit Coaching Delh,25.8 Km from Dwarka Sec-21 Metro Station,0.7 Km from Trilokpuri Sanjay Lake Metro Station (Pink Line),,
Coed,"6,500",Food Included,Beds Available,new delhi,in Laxmi Nagar,Single Room With AC,"13,500",Twin Sharing With AC,"8,000",Triple Sharing With AC,"7,500",Wifi Available,AC Available,Food Available,"0.5 Km from Target Classes-Crash Course For Iit Jee Pmt, Engin",23.0 Km from Dwarka Sec-21 Metro Station,1.0 Km from Laxmi Nagar (Blue Line),,
Coed,"6,500",Food Included,Beds Available,new delhi,in Nehru Place,Single Room With AC,"15,000",Twin Sharing,"10,499",Triple Sharing With AC,"6,500",Wifi Available,AC Available,Food Available,0.4 Km from Jagannath International Management School,20.5 Km from Dwarka Sec-21 Metro Station,0.2 Km from Nehru Place Metro Station (Violet Line),,
Girls,"7,499",Food Included,Beds Available,new delhi,in Laxmi Nagar,Single Room With AC,"9,999",Twin Sharing With AC,"8,499",Triple Sharing With AC,"7,499",Wifi Available,AC Available,Food Available,0.2 Km from Ambedkar Institute Of Technology,23.8 Km from Dwarka Sec-21 Metro Station,0.3 Km from Laxmi Nagar (Blue Line),,
Girls,"8,000",Food Included,Beds Available,new delhi,in Laxmi Nagar,Single Room With AC,"15,000",Twin Sharing With AC,"8,500",Triple Sharing With AC,"8,000",Wifi Available,AC Available,Food Available,"0.5 Km from Target Classes-Crash Course For Iit Jee Pmt, Engin",23.0 Km from Dwarka Sec-21 Metro Station,1.0 Km from Laxmi Nagar (Blue Line),,
Boys,"6,000",,Beds Available,new delhi,in Dwarka Mor,Single Room With AC,"12,000",Twin Sharing With AC,"6,000",,,Wifi Available,AC Available,Food Not Available,0.2 Km from Delight Public School,5.8 Km from Dwarka Sec-21 Metro Station,0.7 Km from Dwarka Morh Metro Station,,
Girls,"6,500",,Beds Available,new delhi,in Ashok Nagar,Twin Sharing,"7,500",Four Sharing With AC,"6,500",Single Room With AC,"15,000",Wifi Available,AC Available,Food Not Available,0.3 Km from Shikshapeeth College Of Management And Technology,9.1 Km from Dwarka Sec-21 Metro Station,0.4 Km from Subhash Nagar Metro Station (Blue Line),,
Girls,"10,000",Food Included,Beds Available,new delhi,in South Extension,Single Room With AC,"16,000",Twin Sharing With AC,"12,000",Triple Sharing With AC,"11,000",Wifi Available,AC Available,Food Available,0.3 Km from Center For Technology Enabled Learning,17.3 Km from Dwarka Sec-21 Metro Station,0.1 Km from South Extension (Pink Line),,
Boys,"12,000",Food Included,Beds Available,new delhi,in South Extension,Single Room With AC,"20,000",Twin Sharing With AC,"13,000",Triple Sharing With AC,"12,000",Wifi Available,AC Available,Food Available,0.3 Km from Center For Technology Enabled Learning,17.3 Km from Dwarka Sec-21 Metro Station,0.1 Km from South Extension (Pink Line),,
Coed,"20,000",Food Included,Beds Available,new delhi,in Chittaranjan Park,Single Room With AC,"20,000",,,,,Wifi Available,AC Available,Food Available,0.7 Km from Birla Vidya Niketan,19.4 Km from Dwarka Sec-21 Metro Station,1.2 Km from Greater Kailash (Magenta Line),,
Coed,"10,000",Food Included,Beds Available,new delhi,in Lajpat Nagar 4,Single Room With AC,"17,000",Twin Sharing With AC,"10,000",,,"Wifi Not
									Available",AC Available,Food Available,0.2 Km from Government Girls Senior Secondary School No 1,19.2 Km from Dwarka Sec-21 Metro Station,0.6 Km from Lajpat Nagar Metro Station (Pink Line And Violet Line),4.0,1 Ratings
Boys,"7,000",Food Included,Beds Available,new delhi,in Dwarka Mor,Single Room With AC,"14,000",Twin Sharing With AC,"9,000",Triple Sharing With AC,"7,000",,,,0.2 Km from Delight Public School,5.8 Km from Dwarka Sec-21 Metro Station,0.7 Km from Dwarka Morh Metro Station,,
Coed,"15,000",,Beds Available,new delhi,in Paharganj,Single Room With AC,"15,000",,,,,Wifi Available,AC Available,Food Available,0.6 Km from Global Entrepreneurship Management Academy,18.4 Km from Dwarka Sec-21 Metro Station,0.4 Km from New Delhi Railway Station ( Yellow And Airport Express Line),5.0,3 Ratings
Boys,"10,000",,Beds Available,new delhi,in Sector 19 Dwarka,Twin Sharing With AC,"10,000",,,,,Wifi Available,AC Available,Food Not Available,0.1 Km from Banarsidas Chiwala Institute Of Professional Studies,1.5 Km from Dwarka Sec-21 Metro Station,0.0 Km from Dwarka Sector 11 Metro Stations (Blue Line),,
Boys,"6,000",Food Included,Beds Available,new delhi,in East Of Kailash,Single Room With AC,"15,000",Twin Sharing With AC,"8,500",Triple Sharing With AC,"7,500",Wifi Available,AC Available,Food Available,0.1 Km from Blue Bells International School,20.2 Km from Dwarka Sec-21 Metro Station,0.3 Km from Nehru Place (Violent Line),,
